epoch: 0, train loss: 2.7157, train accuracy: 11.34%, valid accuracy: 11.0%, time: 2022-11-19 12:20:03
epoch: 1, train loss: 2.6583, train accuracy: 18.14%, valid accuracy: 18.0%, time: 2022-11-19 12:20:20
epoch: 2, train loss: 2.5777, train accuracy: 26.88%, valid accuracy: 27.5%, time: 2022-11-19 12:20:36
epoch: 3, train loss: 2.5247, train accuracy: 32.64%, valid accuracy: 28.5%, time: 2022-11-19 12:20:52
epoch: 4, train loss: 2.5013, train accuracy: 35.3%, valid accuracy: 31.5%, time: 2022-11-19 12:21:09
epoch: 5, train loss: 2.4739, train accuracy: 37.74%, valid accuracy: 32.5%, time: 2022-11-19 12:21:26
epoch: 6, train loss: 2.4539, train accuracy: 39.72%, valid accuracy: 33.0%, time: 2022-11-19 12:21:42
epoch: 7, train loss: 2.4414, train accuracy: 41.1%, valid accuracy: 33.5%, time: 2022-11-19 12:22:00
epoch: 8, train loss: 2.4314, train accuracy: 41.8%, valid accuracy: 32.5%, time: 2022-11-19 12:22:17
epoch: 9, train loss: 2.4246, train accuracy: 42.58%, valid accuracy: 31.0%, time: 2022-11-19 12:22:32
epoch: 10, train loss: 2.4138, train accuracy: 43.78%, valid accuracy: 32.0%, time: 2022-11-19 12:22:47
epoch: 11, train loss: 2.4066, train accuracy: 44.5%, valid accuracy: 31.0%, time: 2022-11-19 12:23:03
epoch: 12, train loss: 2.3969, train accuracy: 46.38%, valid accuracy: 28.0%, time: 2022-11-19 12:23:18
epoch: 13, train loss: 2.3835, train accuracy: 48.16%, valid accuracy: 32.5%, time: 2022-11-19 12:23:33
epoch: 14, train loss: 2.368, train accuracy: 49.86%, valid accuracy: 30.5%, time: 2022-11-19 12:23:49
epoch: 15, train loss: 2.4222, train accuracy: 43.9%, valid accuracy: 32.0%, time: 2022-11-19 12:24:04
epoch: 16, train loss: 2.38, train accuracy: 48.58%, valid accuracy: 29.5%, time: 2022-11-19 12:24:20
epoch: 17, train loss: 2.3279, train accuracy: 53.56%, valid accuracy: 29.5%, time: 2022-11-19 12:24:36
epoch: 18, train loss: 2.3122, train accuracy: 54.98%, valid accuracy: 31.5%, time: 2022-11-19 12:24:53
epoch: 19, train loss: 2.3, train accuracy: 55.38%, valid accuracy: 34.5%, time: 2022-11-19 12:25:09
epoch: 20, train loss: 2.2818, train accuracy: 57.68%, valid accuracy: 28.0%, time: 2022-11-19 12:25:26
epoch: 21, train loss: 2.2705, train accuracy: 59.06%, valid accuracy: 31.0%, time: 2022-11-19 12:25:43
epoch: 22, train loss: 2.2609, train accuracy: 59.4%, valid accuracy: 29.5%, time: 2022-11-19 12:26:00
epoch: 23, train loss: 2.2649, train accuracy: 58.94%, valid accuracy: 28.0%, time: 2022-11-19 12:26:17
epoch: 24, train loss: 2.2546, train accuracy: 60.86%, valid accuracy: 30.0%, time: 2022-11-19 12:26:35
epoch: 25, train loss: 2.2494, train accuracy: 61.18%, valid accuracy: 26.5%, time: 2022-11-19 12:26:52
epoch: 26, train loss: 2.2388, train accuracy: 62.52%, valid accuracy: 28.5%, time: 2022-11-19 12:27:10
epoch: 27, train loss: 2.2329, train accuracy: 63.0%, valid accuracy: 29.0%, time: 2022-11-19 12:27:28
epoch: 28, train loss: 2.2274, train accuracy: 63.3%, valid accuracy: 33.0%, time: 2022-11-19 12:27:47
epoch: 29, train loss: 2.2233, train accuracy: 63.84%, valid accuracy: 28.0%, time: 2022-11-19 12:28:06
epoch: 30, train loss: 2.2129, train accuracy: 65.12%, valid accuracy: 31.5%, time: 2022-11-19 12:28:25
epoch: 31, train loss: 2.2099, train accuracy: 65.18%, valid accuracy: 30.0%, time: 2022-11-19 12:28:44
epoch: 32, train loss: 2.2074, train accuracy: 65.54%, valid accuracy: 27.5%, time: 2022-11-19 12:29:05
epoch: 33, train loss: 2.2064, train accuracy: 65.06%, valid accuracy: 24.5%, time: 2022-11-19 12:29:24
epoch: 34, train loss: 2.1966, train accuracy: 65.74%, valid accuracy: 28.5%, time: 2022-11-19 12:29:45
epoch: 35, train loss: 2.1846, train accuracy: 66.86%, valid accuracy: 24.0%, time: 2022-11-19 12:30:05
epoch: 36, train loss: 2.1779, train accuracy: 67.46%, valid accuracy: 29.0%, time: 2022-11-19 12:30:27
epoch: 37, train loss: 2.1735, train accuracy: 67.92%, valid accuracy: 29.5%, time: 2022-11-19 12:30:48
epoch: 38, train loss: 2.1749, train accuracy: 67.74%, valid accuracy: 28.0%, time: 2022-11-19 12:31:09
